汇入时间,汇入金额,本金,当前市值,盈亏金额,盈亏百分比
2021-01-04,470546.19,470546.19,548606.22,78060.02999999997,16.59%
2021-01-07,7179.04,477725.23,565007.18,87281.95000000007,18.27%
2021-01-07,8236.68,485961.91,565007.18,79045.27000000008,16.27%
2021-01-21,-624.3,485337.61,565007.18,79669.57000000007,16.42%
2021-01-27,2,485339.61,565007.18,79667.57000000007,16.41%
2021-01-27,30,485369.61,565007.18,79637.57000000007,16.41%
2021-01-27,-1888,483481.61,565007.18,81525.57000000007,16.86%
2021-02-03,45,483526.61,565007.18,81480.57000000007,16.85%
2021-02-08,7972.47,491499.07999999996,565007.18,73508.1000000001,14.96%
2021-02-09,279.36,491778.43999999994,565007.18,73228.7400000001,14.89%
2021-02-09,0.0,491778.43999999994,614000,122221.56000000006,24.85%
2021-02-09,0.0,491778.43999999994,625660.06,133881.6200000001,27.22%
2021-02-22,-748.21,491030.2299999999,625660.06,134629.83000000013,27.42%
2021-03-10,8284.65,499314.87999999995,625660.06,126345.18000000011,25.30%
2021-03-20,-216.01,499098.86999999994,625660.06,126561.19000000012,25.36%
2021-03-20,45,499143.86999999994,625660.06,126516.19000000012,25.35%
2021-03-27,60,499203.86999999994,625660.06,126456.19000000012,25.33%
2021-04-06,7249.98,506453.8499999999,625660.06,119206.21000000014,23.54%
2021-04-13,30,506483.8499999999,625660.06,119176.21000000014,23.53%
